"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4",-3.5074319639091,3.65787812666845,-24.2626888948864,1.16126542747392e-54,1.36564814270933e-50,113.707598190276
"SCARA5",-2.73933626025578,4.65485113812315,-22.2891671146478,3.25369269124469e-50,1.91317130245188e-46,103.627843003067
"AC092192.1",-2.88667740484825,3.57031981767485,-22.1017132005064,8.82705407974802e-50,4.15224623911347e-46,102.644260547401
"CA4",-2.17523487936073,4.38553360514595,-21.4305776409171,3.17810446409285e-48,1.2458169499244e-44,99.1108176783027
"CCDC144CP",-2.30560071975334,3.35947286547958,-21.3424817049777,5.21149043939151e-48,1.75106078763555e-44,98.622996212147
"FRG1B",-2.84381944840007,5.56187304299661,-20.6927293082802,1.84236936577602e-46,4.81472527589468e-43,95.1048707601786
"LEP",-4.69814596821259,4.5411450060815,-19.2220030184705,7.0148995318489e-43,1.49991306353715e-39,86.9609960352579
"GPD1",-2.17825676636249,4.46276438411222,-19.2000353167116,7.95038367986048e-43,1.55827520125265e-39,86.8372616169098
"TUSC5",-3.26044210035739,4.90358313000808,-19.0913765173285,1.4780166435204e-42,2.39212622787567e-39,86.2243410191722
"GPIHBP1",-2.34354089786154,5.13152903190229,-19.0858316779879,1.52559070655336e-42,2.39212622787567e-39,86.1930239952162
"LOC284825",-2.44128714854395,3.87899153294901,-18.8324774806958,6.51381363924915e-42,9.01205275265529e-39,84.7579854353508
"OPHN1",-2.47441967845289,10.1397102848952,-18.5494786887186,3.32648038987437e-41,4.11783256683395e-38,83.1456021856508
"ANKRD20A1 /// ANKRD20A12P /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20A5P /// ANKRD20A8P",-3.0316411078823,3.52296655123988,-18.5298997880294,3.72504895281896e-41,4.3806575685151e-38,83.0336862018961
"TNXA /// TNXB",-3.3598586204797,6.01695137677286,-18.3151672013027,1.29258061125429e-40,1.44769028460481e-37,81.8031632407473
"FXYD1",-2.96648502832532,5.72933019780905,-18.1709607014154,2.98987566165668e-40,3.19644888918932e-37,80.973641823987
"MEFV",-2.03524964485789,4.1894097067917,-18.0652409211169,5.5376412141338e-40,5.42688838985112e-37,80.3639146160204
"LOC101930114",-2.48145580012689,4.48468754448821,-17.7846856159506,2.86024489536015e-39,2.58742153611042e-36,78.7393731757135
"LRFN5",-2.00379533447555,4.04132741780893,-17.6973884833444,4.77626090559798e-39,4.01205916070231e-36,78.2319852585414
"FIGF /// PIR-FIGF",-3.49192969691148,4.27807786642643,-17.5310347095423,1.27198515426562e-38,9.97236360944243e-36,77.2626402579877
"CIDEC",-3.46792177616122,6.24952723217053,-17.525390713527,1.31503879228085e-38,9.97732657885345e-36,77.229696293134
"KANK3",-2.10177085929539,5.21285180107711,-17.3083286768381,4.74350581608761e-38,3.28138990571708e-35,75.9599282907482
"PLIN4",-4.38470950620034,5.90535110865163,-17.0553566791946,2.1295978013548e-37,1.28431128943244e-34,74.473348344309
"RP11-496I2.2",-2.21240242001575,3.27793879824944,-16.8841004344271,5.90932685490949e-37,3.08860816949936e-34,73.4629230201568
"LOC101926960",-2.66007576672983,3.23349428671106,-16.7925181058021,1.02124183395774e-36,5.11055487972045e-34,72.9212619266969
"AQPEP",-2.04527772766513,3.2286557165781,-16.7716933604612,1.15666565057575e-36,5.66766168782115e-34,72.7979676086462
"ATP1A2",-2.69931270311735,3.68459006847816,-16.3693358605227,1.29399035899272e-35,5.53357331700161e-33,70.4067216623375
"CLDN5",-2.75802357798564,5.77716678478975,-16.196149951275,3.67733958704482e-35,1.51738644012797e-32,69.3722829685216
"TMEM132C",-2.27788565540755,4.77201243128006,-15.9505387244939,1.62564128376907e-34,6.16694887004009e-32,67.9000933586527
"RPS11",-2.08188575542043,7.54960036268564,-15.8429999144237,3.12203295710066e-34,1.13000062545835e-31,67.2536529496591
"AK096159",-2.32664184433354,3.31009804511727,-15.8429554657374,3.12287587817997e-34,1.13000062545835e-31,67.2533855291978
"RELN",-3.02034443396445,4.45173167393356,-15.8260099182368,3.46144064095007e-34,1.21512065485292e-31,67.1514208642851
"ARF4",2.37252884578094,10.7434013117296,15.7952792243186,4.1720909831514e-34,1.42213883947422e-31,66.9664387131352
"BTNL9",-2.17455626183176,5.62678288609695,-15.7499347816739,5.49648599316458e-34,1.82080775435537e-31,66.693326754194
"ACACB",-2.74618281266344,6.0615877357363,-15.5381084076865,1.99750921247524e-33,5.87267708467719e-31,65.4149549985746
"COPG2IT1",-2.86962819520445,4.83701057660776,-15.3713675160775,5.53138753258758e-33,1.58656383861536e-30,64.4058177960063
"ACVR1C",-2.63142996509558,4.63409558136887,-15.3188542776947,7.62714849987383e-33,2.16133171948232e-30,64.0874945617099
"ADH1C",-2.08345436256264,3.80775577156547,-15.2247500634601,1.35722398062898e-32,3.65956247722158e-30,63.5164627420249
"SCN4B",-2.81611423387106,4.22019923590015,-15.2233136252797,1.36922405610331e-32,3.65956247722158e-30,63.5077404806789
"C14orf180",-2.11961061208902,5.23705268025408,-15.1799243015287,1.78643692707093e-32,4.56706483964221e-30,63.2441922850589
"ITIH5",-2.90409562489626,4.9583776444154,-15.1489263567446,2.16049470364102e-32,5.46396079888568e-30,63.055813183058
"RBP4",-2.5524184967327,4.65947875869073,-14.9511510081773,7.28009328928705e-32,1.72957367842456e-29,61.8520489673905
"COL6A6",-2.53915422960591,4.22611537624056,-14.3777163553371,2.50646000220157e-30,4.87206109518852e-28,58.344945219646
"LGALS12",-2.02176868485223,4.16668576190376,-14.0339486028908,2.11363196135582e-29,3.79485677336556e-27,56.2317777285172
"GPR146",-2.24692846453421,4.7583771282201,-13.9558651516439,3.43382247001705e-29,6.02712720110455e-27,55.7508107403954
"INMT",-2.26093987066369,4.67494805508984,-13.8951831011604,5.00795535996588e-29,8.66081691664688e-27,55.3767974288172
"PLAC9",-2.292294700829,5.73916077760346,-13.8874086975466,5.25609034825358e-29,9.02359452488498e-27,55.32886559451
"PSENEN",2.73740214039611,7.78566211211092,13.8484542313759,6.69758622576603e-29,1.11721438319161e-26,55.0886498892979
"MAPRE1",2.15010376980602,9.50511923257656,13.6571964784588,2.20385975977747e-28,3.52617561564395e-26,53.9081278807684
"ALDH1A2 /// LOC101928635",-2.48124002249759,4.65328565703184,-13.6072744351073,3.00833484165652e-28,4.71706903171743e-26,53.5996994238852
"HSP90AB1",2.45519231491917,11.4230319127405,13.586337657069,3.42782054215904e-28,5.33922775838283e-26,53.4703141038793
"GSTM5",-2.44669184735823,5.78755610214399,-13.4605164389409,7.51428391486583e-28,1.12570673680028e-25,52.6923620272461
"CFD",-4.90664015556749,8.04361581854769,-13.4317164565248,8.99397817764826e-28,1.32294496752658e-25,52.5141992210869
"OSTC",2.27245052773601,10.0535220499919,13.2544392400645,2.72131688972847e-27,3.61612278228325e-25,51.4168286251624
"BAZ1A",2.01484207526231,8.367143176587,13.2112312834623,3.5648891962084e-27,4.65812188304564e-25,51.149196664996
"PLIN1",-4.52741902710587,6.29223182449065,-13.180579151725,4.31770200932383e-27,5.56964756539494e-25,50.9592990611375
"PDE2A",-2.05224430129686,5.96033786568519,-13.0988019678654,7.19952337835545e-27,9.05522940422033e-25,50.452526903533
"HEPACAM /// HEPN1",-2.04242103417315,4.30598601249425,-12.9860692096272,1.45729620556005e-26,1.76678385333878e-24,49.7536127352843
"LRRN4CL",-2.61031788915788,4.49574541512691,-12.9837157044722,1.47891369856957e-26,1.7837974456593e-24,49.7390180781756
"HNRNPF",2.20462102126906,9.13876843223123,12.9566138261238,1.75222173034638e-26,2.0709675928516e-24,49.5709430130082
"SEMA3G",-3.37707692615631,4.92316764334528,-12.9444121443646,1.89124727240973e-26,2.22410679235384e-24,49.4952673084465
"HSPE1-MOB4 /// MOB4",2.20838433436609,9.44264826477829,12.9144126230302,2.28182081447024e-26,2.670070923201e-24,49.3091935248515
"METTL2A /// METTL2B",2.29207303688553,7.65069732542479,12.8609549847577,3.18854009522646e-26,3.65826648974275e-24,48.9775705033298
"PRCC",2.1124215469013,7.2952588615833,12.8569452204146,3.26958367520472e-26,3.73303922528228e-24,48.9526936343036
"HSPB2",-2.11846941590213,5.50316391356434,-12.8106134393498,4.36974645377273e-26,4.94117483618917e-24,48.6652250460008
"CLEC3B /// EXOSC7",-4.10700504756998,6.3273576267474,-12.805105352272,4.52306163055905e-26,5.08873157836169e-24,48.631047056598
"RP11-2E11.9",-2.44580024292718,4.89591019330733,-12.7149372967476,7.95481759013207e-26,8.54325615159389e-24,48.0714752142989
"PGM5-AS1",-2.33121089341212,4.81162872130991,-12.5843128835109,1.80277047036397e-25,1.82763626995519e-23,47.2606299028563
"XRN2",2.05012033712147,8.41568940363846,12.5022305889804,3.01478767623284e-25,2.95449192270818e-23,46.7510167012426
"TMED2",2.90791846209491,9.33747416172525,12.4910832974081,3.23285727791915e-25,3.15505407372027e-23,46.681804131989
"C1orf43",2.02966992670413,9.26220135236378,12.4901132813469,3.25256357113821e-25,3.16116922285829e-23,46.6757813494708
"SCN3A",-2.57082913887197,3.51899743572393,-12.4504510274937,4.17006743130139e-25,3.95483814452454e-23,46.4295158726631
"PAMR1",-2.12832194800217,5.83475016681772,-12.4075945459751,5.45451631935734e-25,5.0507962138301e-23,46.1634094008104
"ARFGEF1",2.08370963540527,8.17001425905461,12.364437041469,7.14812438287702e-25,6.51642966997161e-23,45.8954287429536
"TIMP4",-3.5635449632155,4.63228831393094,-12.2169793032663,1.80072583722707e-24,1.54011169787566e-22,44.979816829126
"P4HB",2.26147437463575,10.3413351166509,12.2031472621787,1.96374939823737e-24,1.66741465149975e-22,44.893933026453
"LOC100507311",-2.33257000982555,4.47636925853494,-12.0678146050053,4.58476221515654e-24,3.70562224400281e-22,44.0537225647993
"LRIF1",2.15506766555115,7.50319700204609,12.0616456485884,4.76541437716556e-24,3.83844336133336e-22,44.0154269959221
"LYPLA1",2.45079297153491,9.93048287749138,12.0035594104936,6.85689000497968e-24,5.43010279182229e-22,43.6548638075145
"SOD3",-2.00820037238474,6.23339291317365,-11.9981436935881,7.09349154366841e-24,5.59862151366043e-22,43.621248782949
"ATP6V1A",2.19142481692497,8.92823452041887,11.9304331625552,1.08403892821411e-23,8.3050799972625e-22,43.2010126808602
"LIMS2",-2.01246639259292,6.43067725820158,-11.8799709178132,1.48693378572693e-23,1.10323920000938e-21,42.8878782917896
"PPP1R14A",-3.38167748342117,4.97442151164266,-11.8775450533137,1.50969425293643e-23,1.11660405122845e-21,42.872826275361
"HAT1",2.05103879270166,9.08518698942293,11.7956362273955,2.52127106056729e-23,1.80244058798002e-21,42.364672446997
"TNMD",-2.77868867408575,3.93868208144992,-11.7768004873517,2.83680951021156e-23,2.0157631323316e-21,42.2478394598212
"SET /// SETP4 /// SETSIP",2.4333775180246,9.4325839856871,11.530529406259,1.32442241557007e-22,8.55780637752969e-21,40.7212231096805
"AGO2",3.07220503423582,8.68766649668337,11.5052203761306,1.55150745153543e-22,9.97034296724408e-21,40.5644490703709
"RP1-193H18.2",-2.11630320657761,5.34588294201586,-11.5015689089794,1.58733548293295e-22,1.0145144173528e-20,40.5418324595873
"H2AFZ",2.23846150640322,11.329592265737,11.4712238995005,1.91891962938027e-22,1.20999972340547e-20,40.3539003471791
"CD46",2.47817305243791,9.48121343519353,11.4389981571557,2.3471185583666e-22,1.47211275980753e-20,40.1543608978962
"PTPLAD1",2.10320222914915,10.2347161594039,11.3963741143952,3.06346747425448e-22,1.84750653831962e-20,39.8905026696218
"PEAR1",-2.14723405919296,5.50924401833776,-11.3344474445292,4.51045176231361e-22,2.67218703903315e-20,39.5072972276585
"ANKRD20A12P /// LOC101059949 /// LOC101060632 /// LOC101927345",-2.27098466553342,4.53005358057669,-11.3284431249945,4.68280381228444e-22,2.76038961566241e-20,39.4701515867265
"ADIPOQ",-6.3468700549725,4.99046967049207,-11.3247648574106,4.79162076057793e-22,2.81747300721982e-20,39.4473968773673
"FYTTD1",2.15638855843968,8.74995338130109,11.318956684069,4.96861420627073e-22,2.90701010277332e-20,39.4114673346182
"ITGA7",-2.33950100657502,5.30521225273862,-11.317645317317,5.00947087504011e-22,2.92364156280256e-20,39.4033554017977
"PNP",2.85017683008028,8.36158188960199,11.2966804948687,5.71013481845923e-22,3.29981255356661e-20,39.2736811929178
"M6PR",2.89430804680245,8.0143891746387,11.2686129745315,6.80376130047455e-22,3.89353931355624e-20,39.1001083321479
"YWHAZ",2.09025682762356,10.1923718617958,11.1960645283714,1.06999706540012e-21,5.9635855398604e-20,38.6516474594872
"CCL14 /// CCL15-CCL14",-3.28272209666897,5.98346025759238,-11.1766326830427,1.20789979049441e-21,6.65334966567414e-20,38.5315765654745
"ARPC4 /// ARPC4-TTLL3",2.84678444635358,7.70888096890644,11.1111342856255,1.81730530392572e-21,9.75868053614908e-20,38.1270133848817
"KPNA2",2.8968964840343,10.447760541301,11.0653538039305,2.41746421074338e-21,1.26634205426914e-19,37.8443910397194
"PCK1",-2.32863930195616,3.8060925936322,-10.9350143506946,5.44386733673663e-21,2.71270677457724e-19,37.0404746710561
"C2orf40",-4.74719322413038,5.12755244126456,-10.9032143362593,6.63515844222466e-21,3.26483109960511e-19,36.8445091567128
"CIDEA",-2.62007091847945,5.21490336196745,-10.8994994417718,6.79030701401052e-21,3.33419667994838e-19,36.8216209887288
"C14orf142",2.21635127182192,7.19329037068711,10.7539781575801,1.67795558063185e-20,7.72319280948356e-19,35.9258362324484
"ANKRD20A5P /// ANKRD20A5P",-2.0408809531955,4.61704005355663,-10.6730970289197,2.77241670352549e-20,1.23968138530265e-18,35.4286717416342
"STIP1",2.50270372308828,8.6005518368076,10.5777865201908,5.00670642110122e-20,2.12176099142884e-18,34.8435213276943
"VAMP7",2.17411029945087,9.04207749974429,10.5498683136059,5.95223458499987e-20,2.50441068764216e-18,34.6722723880628
"PIGR",-3.37433651108924,5.21589106754221,-10.5478732699467,6.02625616466432e-20,2.53102758915901e-18,34.6600376060593
"TRIM59",2.85157095282292,6.40818236753372,10.545397853553,6.11937891212166e-20,2.56555778989485e-18,34.6448574037677
"FABP4",-4.84017165397811,5.54665831779282,-10.5264508869515,6.88135239117847e-20,2.84946141268517e-18,34.5286860739256
"BRI3BP",2.24062363629241,8.29707013403103,10.5249443042062,6.94585719093536e-20,2.87111706732512e-18,34.5194500499938
"CKS2",3.48011251238149,9.65198002989924,10.5194252058864,7.18735471749133e-20,2.96572952553327e-18,34.4856173257621
"EZR",2.1446849341859,7.81383084728162,10.5081570114645,7.7067357731834e-20,3.16892352072157e-18,34.4165508252231
"SLBP",2.26455864532103,9.21531341431992,10.5037140757357,7.92166835353707e-20,3.24595191071763e-18,34.389321884054
"MIR21 /// VMP1",2.93658374564584,10.7176734647809,10.4558347976305,1.06538279327752e-19,4.2615311731101e-18,34.0960088755714
"PCNA",2.51385919437886,10.151698667876,10.4521572588391,1.08989922087036e-19,4.35219519097978e-18,34.0734890830129
"AKIRIN1",2.02211508076994,7.60089249071111,10.3780439770764,1.72342964403684e-19,6.67171531418467e-18,33.6199347894727
"CHRDL1",-4.67545339197539,6.29778694849875,-10.36754418468,1.83894574912771e-19,7.06732091821631e-18,33.5557236693153
"NRBF2",2.01556442070729,7.14911783879793,10.3563512510832,1.97060292910197e-19,7.51959622142703e-18,33.4872861911517
"CDO1",-2.08312370550916,4.64398571210605,-10.3291441949206,2.33116090589973e-19,8.73071727814675e-18,33.3209872442012
"G0S2",-4.00721058313743,7.10430003488851,-10.3264041124439,2.37093563967371e-19,8.8655653807831e-18,33.3042432227244
"RASL10A",-2.08482148429102,5.76646632475109,-10.3009378908252,2.77454389061619e-19,1.0260577406807e-17,33.1486630956257
"SMS",2.10103437177849,9.30639961544758,10.2471681673161,3.86586880483415e-19,1.40316719582869e-17,32.8203992722888
"SLMO2",2.00458703563516,7.85157686556269,10.1655297739587,6.39311746237494e-19,2.24762515269146e-17,32.3226139243054
"RRM2",4.43896660541875,8.85261248221588,10.0949966255429,9.86743379312949e-19,3.37193035389546e-17,31.8931651042195
"ABRACL",2.58972544237966,8.92873817997855,10.066494590446,1.17571699759093e-18,3.97223511964413e-17,31.7197968406357
"ALYREF",2.80044752815404,8.2253487351582,10.0512567579802,1.29113004498086e-18,4.32583741566237e-17,31.6271511271276
"AOC3",-3.48905563204014,6.3624484775362,-10.0279537664495,1.48983700735156e-18,4.95628945019924e-17,31.4855251777345
"MRPL13",2.25433397668692,9.27024688096706,9.96810953753308,2.15111854700966e-18,6.93072715420097e-17,31.1221312426621
"UBE2T",3.68060054647401,8.16032891836176,9.96194418472096,2.23402709474963e-18,7.1683925332212e-17,31.0847193254684
"AK5",-2.43005621991482,4.98479371465026,-9.96010736739133,2.25933797454935e-18,7.23973149337884e-17,31.0735743078128
"GPAM",-2.5938362292764,6.49335824168089,-9.91511977650242,2.97686099223866e-18,9.34789993824476e-17,30.8007472004809
"CCT2",2.10013873111092,10.4782648076666,9.89658980295812,3.33473664570063e-18,1.04022554253155e-16,30.6884503677779
"ZWILCH",2.17237112807038,7.5834393999216,9.89381598157659,3.39187825553606e-18,1.05664869629415e-16,30.6716442013548
"CD36",-3.33691020115096,5.2214062101392,-9.86260159122456,4.10624465801525e-18,1.25590213727592e-16,30.4825928058769
"SPAG1",2.71928608654627,6.74569385724078,9.820576875564,5.31017483838152e-18,1.60122195126581e-16,30.2282795099929
"SMC4",2.2214366342474,7.84214613348349,9.80947912110725,5.68302758564657e-18,1.7092686549157e-16,30.1611623216002
"OXTR",-3.87272242989965,5.82234317075001,-9.73957852299016,8.71044064332591e-18,2.51992083555997e-16,29.738818942656
"SLC25A32",2.33252718719257,8.29853560912488,9.72027979909047,9.79923499417215e-18,2.81757954844656e-16,29.6223394425643
"ZWINT",3.03419869238733,8.83674023941536,9.6772810162938,1.2737391428166e-17,3.56646959988647e-16,29.3630136850529
"PPP1R1A",-2.74734955052111,5.13763805284052,-9.63310455174786,1.6671265239799e-17,4.55939719116364e-16,29.0968749082482
"DONSON",2.65829932359008,7.33329557132932,9.6215376597144,1.78876577027323e-17,4.85817216129635e-16,29.0272400380808
"MYZAP",-2.18938720560925,5.92072596929405,-9.60256445308771,2.00772166588657e-17,5.41532265844634e-16,28.9130625570189
"PLEKHF2",2.79509740236937,8.90043811423424,9.59480264120528,2.10480992703414e-17,5.60514496995143e-16,28.8663694547449
"FAM189A2",-2.8793564614659,6.21494580810816,-9.53514087556868,3.02502401555544e-17,7.84053413077673e-16,28.5077765137555
"H2BFS",3.28770949811451,8.96397283041035,9.49380504755844,3.88797343143009e-17,9.83281022658449e-16,28.2596651949414
"HLF",-2.20667896880332,4.40501545407685,-9.48438933297079,4.11656120138684e-17,1.03331397499059e-15,28.203187945145
"KIAA0101",2.67122174052491,8.01916345135665,9.47453148866092,4.37023162134042e-17,1.0958192722167e-15,28.1440743619299
"ADH1B",-3.20806799416154,4.50717530238719,-9.46342946331619,4.67459617359284e-17,1.16085228765359e-15,28.0775191685111
"UHRF1",3.02261666100495,8.29319413492431,9.39897571932269,6.90762422876024e-17,1.65613987625322e-15,27.6915355077904
"KIF11",3.32888341658225,6.62410932827211,9.38744298213783,7.40699082925541e-17,1.76507015505661e-15,27.6225456909143
"UBE2M",2.13228166053267,7.96633389259533,9.37794162425574,7.84528001853815e-17,1.85792715754766e-15,27.5657249461906
"VMP1",3.71626486420317,8.40994846987593,9.28727554074829,1.35682174632585e-16,3.08035207273977e-15,27.0243108299226
"EZH2",3.02468895165846,7.64667780363772,9.23835771281705,1.82236119663577e-16,4.0359637801199e-15,26.7328073874578
"UBE2S",3.24529388401666,8.83249905540557,9.22463319185893,1.97945368831059e-16,4.3510982008472e-15,26.6511009291798
"PRC1",3.56310680701835,8.1591503463808,9.18510330364933,2.51128815487307e-16,5.44382464540227e-15,26.4159620462443
"MIR143HG /// MIR145",-2.34663886984877,6.63905806916946,-9.04886053466083,5.69064143077386e-16,1.16792222034731e-14,25.6078184925437
"BHLHE40",2.3400047505814,8.74203903299458,9.0187742980448,6.81413653909643e-16,1.3780609750606e-14,25.4298480099894
"NUSAP1",3.35848105829806,7.57496537108029,8.96429912150153,9.43843153860743e-16,1.86704718072369e-14,25.1080736853551
"EDNRB",-2.30838968807925,4.81022469848835,-8.9442524914698,1.06390750287348e-15,2.06291050845708e-14,24.9898151149343
"SCGB3A1",-3.91526142540125,6.12413221173316,-8.94042310399362,1.0885138936285e-15,2.10541503109724e-14,24.967234351646
"HOXA5",-3.17755683154216,6.13164593133444,-8.9305247645578,1.15477088904944e-15,2.22260321689385e-14,24.9088809023851
"RAD21",2.06432944537594,9.90087766385758,8.86078231373597,1.75010619822701e-15,3.26686490335709e-14,24.4983136822142
"SAA1 /// SAA2",-3.58151741616697,7.74591536395086,-8.85576755809162,1.80314853035677e-15,3.35522574636006e-14,24.4688321355561
"ZBTB16",-3.2512100526376,5.12172529054151,-8.85498807003367,1.81153568345904e-15,3.36816753161712e-14,24.4642500414404
"ATAD2",2.80770090094847,7.25635577776357,8.85222869981155,1.84153890111403e-15,3.41854735234428e-14,24.4480305805223
"IGFBP6",-2.8893860870949,7.1446003160828,-8.85092351886768,1.85590201099842e-15,3.43978055939187e-14,24.4403593528321
"GYG2",-2.21060371932399,5.826442975038,-8.78324314445164,2.77531421486744e-15,4.97905341980794e-14,24.0430733223499
"HIST1H2BH",2.67764020985341,7.46943054219381,8.76411009591072,3.1091382181036e-15,5.52117766756839e-14,23.9309440390388
"TMEM100",-2.60246518071134,4.44564325363938,-8.71011322235634,4.28222396188355e-15,7.38401081990477e-14,23.6149365866808
"SLC25A43",2.24066247765024,7.04410547062664,8.69046892315612,4.81039942773251e-15,8.2224269287986e-14,23.5001353010037
"MSH2",2.44996095504754,7.62765818013883,8.66073861918974,5.7353194580174e-15,9.69224167189879e-14,23.3265595958779
"RERGL",-2.14298641559908,3.8741204822297,-8.64475542726513,6.30351990414733e-15,1.05899134389675e-13,23.2333286473294
"CDKN1C",-2.25997254635754,6.25112725566374,-8.64252069970237,6.38729903096498e-15,1.07153547224177e-13,23.2202980742704
"CCDC69",-2.13099816580193,5.34163797415622,-8.56931692398043,9.83746437727425e-15,1.58694898596358e-13,22.7940999896783
"KLHL13",-3.15561765364113,5.41584629736976,-8.5371306577277,1.1890085179603e-14,1.9011203495871e-13,22.607113063006
"TPD52",2.38899168406128,8.50835902235141,8.50230343324859,1.45922659032924e-14,2.29571969261162e-13,22.4050661996771
"COX7A1",-2.98456760672247,7.30588987616669,-8.50069027703433,1.47312382863684e-14,2.31603425464829e-13,22.3957148075583
"RACGAP1",2.55231071779632,8.63115929540787,8.48005935598775,1.66288696714072e-14,2.59874428353154e-13,22.2761747641977
"WIF1",-4.10201606024438,4.40329530963818,-8.45446427727978,1.9323585562905e-14,2.9802670979641e-13,22.1280176976297
"RBP7",-3.46331329398136,6.87715099469492,-8.42541783630987,2.29100429239918e-14,3.50126192054768e-13,21.9600805718645
"UBE2C",3.277907090009,8.9076945745654,8.37007668354989,3.16703681947306e-14,4.7264407356603e-13,21.640706636897
"CNN3",2.6422329237326,7.96408735527714,8.3444685075495,3.67803593027532e-14,5.38986947539412e-13,21.493187414615
"DQ592442",-2.1515200986637,5.69512957758597,-8.33353132548659,3.92048672435102e-14,5.72021388069082e-13,21.4302341289376
"LPL",-4.01477309662942,7.186891193828,-8.33219227108116,3.95123984168356e-14,5.76151029611886e-13,21.4225288092743
"DTL",3.01805204053386,7.40988165172316,8.2963564214015,4.86940289725789e-14,6.99623433985985e-13,21.216492897427
"EBF1",-2.12046253545692,5.55413784268171,-8.28170426632577,5.30318868467233e-14,7.55945441596928e-13,21.1323486388763
"CDK1",2.65616659402414,7.16068537052961,8.26019358505122,6.01040520925594e-14,8.51594762178913e-13,21.0089205372019
"CCNB1",2.98163553815402,7.56988204283186,8.24590464713604,6.5311509422749e-14,9.17638411961205e-13,20.9269990191884
"MEOX1",-2.32234121545186,5.22388220153404,-8.23879939506177,6.80652150356513e-14,9.52913010499118e-13,20.8862834902223
"SAA1 /// SAA2 /// SAA2-SAA4",-3.73743978073025,6.44241469634063,-8.22749990947063,7.26836049237403e-14,1.01364591557281e-12,20.8215615675272
"HN1",2.15238174299557,9.31878555078042,8.21571718868746,7.78308539658276e-14,1.07681275604486e-12,20.7541084851366
"MAGOH /// MAGOHB",2.03424957006507,7.96891416825396,8.05075486985915,2.02074121503172e-13,2.59431404899269e-12,19.813765342413
"IRX1",-4.31710189409266,6.07540403545264,-8.03605005867144,2.19934092431719e-13,2.80675521106568e-12,19.7303152949144
"CES1 /// LOC100653057",-2.75171399181036,5.86753467947151,-7.95536441494294,3.49665652431934e-13,4.30132643577358e-12,19.2735397645419
"MELK",3.35050292246807,8.14701472213039,7.90966950191843,4.54294599122221e-13,5.46827480622039e-12,19.0157038216924
